date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:18	351628/351628	---M-Z	200	added ('OK')	text/html	etag:W/%22645b4500-55d8c%22	https://prium.github.io/falcon/v3.16.0/dashboard/lms.html	/home/tamuzo77/websites/falconV1/prium.github.io/falcon/v3.16.0/dashboard/lms.html	(from )
11:46:19	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-239b%22	https://prium.github.io/robots.txt		(from )
11:46:19	9899/9899	---M--	200	added ('OK')	image/png	etag:%22645b4500-26ab%22	https://prium.github.io/falcon/v3.16.0/assets/img/favicons/apple-touch-icon.png	/home/tamuzo77/websites/falconV1/prium.github.io/falcon/v3.16.0/assets/img/favicons/apple-touch-icon.png	(from https://prium.github.io/falcon/v3.16.0/dashboard/lms.html)
11:46:20	1846/1846	---M--	200	added ('OK')	image/png	etag:%22645b4500-736%22	https://prium.github.io/falcon/v3.16.0/assets/img/favicons/favicon-32x32.png	/home/tamuzo77/websites/falconV1/prium.github.io/falcon/v3.16.0/assets/img/favicons/favicon-32x32.png	(from https://prium.github.io/falcon/v3.16.0/dashboard/lms.html)
11:46:21	1343/1343	---M--	200	added ('OK')	image/png	etag:%22645b4500-53f%22	https://prium.github.io/falcon/v3.16.0/assets/img/favicons/favicon-16x16.png	/home/tamuzo77/websites/falconV1/prium.github.io/falcon/v3.16.0/assets/img/favicons/favicon-16x16.png	(from https://prium.github.io/falcon/v3.16.0/dashboard/lms.html)
11:46:22	15086/15086	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22645b4500-3aee%22	https://prium.github.io/falcon/v3.16.0/assets/img/favicons/favicon.ico	/home/tamuzo77/websites/falconV1/prium.github.io/falcon/v3.16.0/assets/img/favicons/favicon.ico	(from https://prium.github.io/falcon/v3.16.0/dashboard/lms.html)
11:46:23	403/403	---M-Z	200	added ('OK')	application/json	etag:W/%22645b4500-193%22	https://prium.github.io/falcon/v3.16.0/assets/img/favicons/manifest.json	/home/tamuzo77/websites/falconV1/prium.github.io/falcon/v3.16.0/assets/img/favicons/manifest.json	(from https://prium.github.io/falcon/v3.16.0/dashboard/lms.html)
11:46:24	7791/7791	---M--	200	added ('OK')	image/png	etag:%22645b4500-1e6f%22	https://prium.github.io/falcon/v3.16.0/assets/img/favicons/mstile-150x150.png	/home/tamuzo77/websites/falconV1/prium.github.io/falcon/v3.16.0/assets/img/favicons/mstile-150x150.png	(from https://prium.github.io/falcon/v3.16.0/dashboard/lms.html)
11:46:25	825/825	---M-Z	200	added ('OK')	application/javascript	etag:W/%22645b4500-339%22	https://prium.github.io/falcon/v3.16.0/assets/js/config.js	/home/tamuzo77/websites/falconV1/prium.github.io/falcon/v3.16.0/assets/js/config.js	(from https://prium.github.io/falcon/v3.16.0/dashboard/lms.html)
11:46:28	65856/65856	---M-Z	200	added ('OK')	application/javascript	etag:W/%22645b4500-10140%22	https://prium.github.io/falcon/v3.16.0/vendors/simplebar/simplebar.min.js	/home/tamuzo77/websites/falconV1/prium.github.io/falcon/v3.16.0/vendors/simplebar/simplebar.min.js	(from https://prium.github.io/falcon/v3.16.0/dashboard/lms.html)
